"subject","body","label"
"Account Verification Required","Your account verification has expired. Please click the link below and re-enter your credentials to continue using our services.","phishing"
"Book Recommendations","Based on your recent purchases, you might enjoy these new releases in mystery and thriller genres.","legitimate"
"Fitness Tips Newsletter","5 tips to stay motivated this winter: Set realistic goals, find a workout buddy, track your progress, and more.","legitimate"
"USPS Delivery Notice","You have a package waiting at the post office. Confirm your identity here and pay the holding fee to collect it.","phishing"
"WINNER: $5000 Cash Prize","Congratulations! Your email was randomly selected. Claim your $5000 now by clicking here and providing verification details.","phishing"
"Government Benefits Expiring","Your benefits will expire unless you update your information. Click here and provide your SSN and bank account now.","phishing"
"Amazon: Package Could Not Be Delivered","We couldn't deliver your order. Click here to reschedule and verify your payment method for the delivery charge.","phishing"
"Fraud Alert - Action Needed","Suspicious activity detected on your account. Verify your identity immediately by providing your full banking credentials.","phishing"
"App Update Available","Version 3.2 of the app is available with bug fixes and performance improvements. Update now for the best experience.","legitimate"
"Security Breach Alert","Your account was involved in a security breach. Reset your password and security questions now to prevent unauthorized access.","phishing"
"Exclusive Reward Waiting","You've been specially selected for a $2000 reward. Claim now by confirming your identity and bank account details.","phishing"
"Order Confirmation #12345","Thank you for your order! Your items will ship within 2-3 business days. Track your package using the link below.","legitimate"
"Suspicious Login Attempt","Someone tried to access your account from Russia. Change your password immediately by clicking this link and logging in.","phishing"
"New Product Launch","Introducing our new winter collection. Browse the latest styles and find your perfect outfit for the season.","legitimate"
"Lottery Winner Notification","You won the international lottery! To claim your $2.5 million prize, please send us your banking information immediately.","phishing"
"Your Account Will Be Deleted","We will delete your account in 12 hours due to inactivity. Confirm your password here to keep your account active.","phishing"
"Confirm Your Banking Details","Dear customer, we need you to confirm your banking details immediately. Failure to do so will result in account termination.","phishing"
"You've Won a Luxury Vacation","Claim your all-expenses-paid trip to Hawaii! Just cover the registration fee by entering your credit card information here.","phishing"
"Delivery Attempt Failed - Redeliver","We missed you! Reschedule your delivery by clicking here and confirming your address and payment information.","phishing"
"Update Your Security Information","For your security, please update your password and security questions by clicking here. Failure to comply will lock your account.","phishing"
"Company Policy Update","Our remote work policy has been updated. Please review the changes in the employee handbook on the intranet.","legitimate"
"Final Warning: Account Suspended","This is your final notice. Your account will be permanently suspended if you don't verify your identity within 12 hours.","phishing"
"Recipe Ideas for the Week","Try these delicious recipes this week: Monday - Pasta Primavera, Tuesday - Chicken Stir Fry, Wednesday - Vegetarian Tacos.","legitimate"
"Your Shipment is Delayed","Track your delayed package by clicking here and entering your credit card information to upgrade to express shipping.","phishing"
"Auto-Pay Setup Confirmation","You've successfully set up auto-pay for your monthly subscription. You'll be charged $19.99 on the 1st of each month.","legitimate"
"Interest Rate Update","The interest rate on your savings account has been adjusted to 2.5% APY effective February 1st.","legitimate"
"Content Recommendation","Based on your interests, you might like these articles about technology and innovation.","legitimate"
"New Account Feature Available","We've added mobile check deposit to your account. Update your app to start depositing checks from your phone.","legitimate"
"Tax Return Processing Error","There was an error processing your tax return. Click here and re-enter your SSN and financial information to fix it.","phishing"
"Your Monthly Statement is Ready","Your account statement for December is now available. Log into your account to view your transactions and balance.","legitimate"
"Upcoming Webinar Invitation","Join our free webinar on digital marketing strategies next Thursday at 2 PM EST. Register now to save your spot.","legitimate"
"Social Security Administration Alert","Your social security benefits will be suspended. Call this number or click here to verify your SSN immediately.","phishing"
"Customer Appreciation Day","You're invited to our customer appreciation event on February 15th. Enjoy refreshments and special in-store discounts.","legitimate"
"30% Off Sale This Weekend","Enjoy 30% off all items this Saturday and Sunday. Shop online or visit our stores. No code needed at checkout.","legitimate"
"Security Settings Changed","You recently changed your security settings. If this wasn't you, review your account security.","legitimate"
"Team Lunch Next Friday","Join us for a team lunch next Friday at 12:30 PM at Mario's Italian Restaurant. RSVP by Wednesday.","legitimate"
"Government Grant Approval","You've been approved for a $15,000 government grant. Claim it now by verifying your social security number and bank info.","phishing"
"Fraud Protection Alert","We blocked a suspicious transaction at an online merchant. If this was you, you can approve it through your mobile app.","legitimate"
"Treasury Department Notice","You owe back taxes. Pay immediately by clicking here or face legal prosecution and asset seizure within 72 hours.","phishing"
"New Follower Notification","Sarah_designs started following you. Check out their profile.","legitimate"
"Paperless Statement Enrollment","Go paperless and help the environment. Enroll in paperless statements through your account settings today.","legitimate"
"IT System Maintenance","Scheduled maintenance on our email servers will occur this Saturday from 2 AM to 6 AM. Services may be briefly interrupted.","legitimate"
"FedEx Delivery Pending","Your package requires customs clearance. Pay the $15 fee here and provide your credit card details for immediate release.","phishing"
"Friend Request from John Doe","John Doe sent you a friend request. View their profile and decide whether to accept.","legitimate"
"Account Anniversary","Thank you for 5 years of banking with us! Check your account for a special loyalty bonus we've added.","legitimate"
"Exclusive Member Discount","As a valued member, enjoy an exclusive 20% discount on your next purchase. Offer valid until the end of the month.","legitimate"
"Software Update Available","A new version of our software is available. Update now to get the latest features and security improvements.","legitimate"
"Package Held at Customs","Your international package is held at customs. Pay the clearance fee of $45 by entering your payment details here.","phishing"
"Account Security Compromised","Your security has been compromised. Verify your identity by entering your password, social security number, and date of birth.","phishing"
"Security Alert: Unusual Activity Detected","We detected suspicious login attempts from unknown locations. Confirm your identity now to prevent account closure.","phishing"
"Direct Deposit Confirmation","A direct deposit of $2,500 has been added to your account ending in 4521. View details in your account dashboard.","legitimate"
"Security Update Required","We've upgraded our security system. Reset your password now using this link or your account will be deleted tomorrow.","phishing"
"Your Bank Account is Locked","Action required! Your account has been locked due to security reasons. Update your information here to restore access.","phishing"
"Username Update Required","Due to new security policies, you must update your username within 24 hours. Click here and log in to make changes.","phishing"
"Cloud Storage Upgrade","You're using 80% of your cloud storage space. Upgrade to our premium plan for 1TB of storage at $9.99/month.","legitimate"
"Weekly Activity Summary","You walked 42,000 steps this week! That's 15% more than last week. Keep up the great work!","legitimate"
"New Employee Welcome","Please join us in welcoming Sarah Johnson to the marketing team. Her first day is next Monday.","legitimate"
"Streaming Service Update","We've added new content to your watchlist. Check out the latest movies and TV shows available now.","legitimate"
"Receipt for Your Purchase","Here's your receipt for your purchase of $45.67 at Store Name on January 15th. Keep this for your records.","legitimate"
"Password Expiration Notice","Your password will expire in 2 hours. Click here immediately to reset it or you'll lose access to your account permanently.","phishing"
"Weekly Newsletter - Tech Updates","This week's top stories: New smartphone releases, AI developments, and the latest in cloud computing technology.","legitimate"
"Project Update Required","Please submit your project status update by end of day Friday. Use the template provided in the shared drive.","legitimate"
"Free iPhone 15 - Claim Now","You've been chosen to receive a FREE iPhone 15 Pro Max! Just pay $9.99 shipping and confirm your credit card details.","phishing"
"Photo Memories from Last Year","Remember this day last year? Check out these photos from your trip to the beach.","legitimate"
"Low Balance Notification","Your checking account balance has fallen below $100. Consider transferring funds to avoid any overdraft fees.","legitimate"
